istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_1,4576,4577.6,4576.0,3.2,5,5
instance_test_2,5191,5195.2,5198.0,3.4,5,5
instance_test_3,3913,3934.4,3931.0,18.2,5,5
instance_test_4,4829,4906.8,4917.0,44.9,5,5
instance_test_5,17583,17626.6,17621.0,30.7,5,5
instance_test_6,3780,4087.4,4164.0,154.0,5,5
instance_test_7,14445,14527.2,14531.0,56.9,5,5
instance_test_8,6822,6856.4,6855.0,19.6,5,5
instance_test_9,4775,4889.6,4865.0,86.2,5,5
instance_test_10,-,-,-,-,0,5
instance_test_11,819,877.8,865.0,50.2,5,5
instance_test_12,16429,16455.6,16451.0,18.1,5,5
instance_test_13,18461,18494.4,18503.0,19.6,5,5
instance_test_14,3769,3810.8,3822.0,30.6,5,5
instance_test_15,7814,7830.6,7819.0,18.2,5,5
instance_test_16,5639,5669.6,5663.0,22.5,5,5
instance_test_17,2219,2253.2,2249.0,28.3,5,5
instance_test_18,3956,4013.8,3978.0,55.4,5,5
instance_test_19,15022,15210.6,15256.0,94.4,5,5
instance_test_20,5122,5224.8,5219.0,84.2,5,5
