instance,seed,cfgA_caldo,cfgB_freddo
instance_test_1,1,300,479
instance_test_1,2,442,470
instance_test_1,3,306,453
instance_test_1,4,169,406
instance_test_1,5,168,489
instance_test_10,1,936,929
instance_test_10,2,949,930
instance_test_10,3,925,919
instance_test_10,4,944,909
instance_test_10,5,933,913
instance_test_100,1,752,536
instance_test_100,2,538,646
instance_test_100,3,751,537
instance_test_100,4,541,434
instance_test_100,5,646,531
instance_test_11,1,56,68
instance_test_11,2,66,70
instance_test_11,3,57,64
instance_test_11,4,54,68
instance_test_11,5,58,58
instance_test_12,1,184,3467
instance_test_12,2,3509,3474
instance_test_12,3,3522,3504
instance_test_12,4,3509,177
instance_test_12,5,3553,3518
instance_test_13,1,1380,1368
instance_test_13,2,1412,1378
instance_test_13,3,1355,1353
instance_test_13,4,1422,1346
instance_test_13,5,1370,1364
instance_test_14,1,2466,2472
instance_test_14,2,2498,2469
instance_test_14,3,2469,2469
instance_test_14,4,2476,2482
instance_test_14,5,2544,2479
instance_test_15,1,2955,2945
instance_test_15,2,2947,2953
instance_test_15,3,2959,2949
instance_test_15,4,2957,2944
instance_test_15,5,2947,2942
instance_test_16,1,2001,1998
instance_test_16,2,2001,2004
instance_test_16,3,2013,2010
instance_test_16,4,1992,2023
instance_test_16,5,2020,2017
instance_test_17,1,798,768
instance_test_17,2,772,765
instance_test_17,3,770,750
instance_test_17,4,759,753
instance_test_17,5,767,767
instance_test_18,1,1997,1910
instance_test_18,2,1923,1877
instance_test_18,3,1945,1901
instance_test_18,4,1921,1905
instance_test_18,5,1953,1885
instance_test_19,1,630,610
instance_test_19,2,657,571
instance_test_19,3,624,604
instance_test_19,4,650,580
instance_test_19,5,667,629
instance_test_2,1,1555,1506
instance_test_2,2,1554,1537
instance_test_2,3,1524,1450
instance_test_2,4,1593,1447
instance_test_2,5,1547,1447
instance_test_20,1,284,230
instance_test_20,2,248,3605
instance_test_20,3,3693,3722
instance_test_20,4,3713,3713
instance_test_20,5,239,3704
instance_test_21,1,1653,1638
instance_test_21,2,1655,1654
instance_test_21,3,1655,1605
instance_test_21,4,1648,1632
instance_test_21,5,1654,1647
instance_test_22,1,888,904
instance_test_22,2,894,146
instance_test_22,3,950,898
instance_test_22,4,898,898
instance_test_22,5,898,898
instance_test_23,1,625,203
instance_test_23,2,509,374
instance_test_23,3,493,280
instance_test_23,4,415,145
instance_test_23,5,466,386
instance_test_24,1,514,2610
instance_test_24,2,2636,2578
instance_test_24,3,488,2593
instance_test_24,4,2610,2580
instance_test_24,5,2621,2595
instance_test_25,1,3662,3656
instance_test_25,2,3667,3668
instance_test_25,3,3661,3663
instance_test_25,4,3665,3656
instance_test_25,5,3670,3673
instance_test_26,1,763,732
instance_test_26,2,800,708
instance_test_26,3,788,734
instance_test_26,4,553,561
instance_test_26,5,536,740
instance_test_27,1,694,599
instance_test_27,2,598,522
instance_test_27,3,648,481
instance_test_27,4,646,480
instance_test_27,5,605,566
instance_test_28,1,864,850
instance_test_28,2,659,654
instance_test_28,3,855,657
instance_test_28,4,654,654
instance_test_28,5,658,848
instance_test_29,1,708,1352
instance_test_29,2,1322,1333
instance_test_29,3,1463,1325
instance_test_29,4,1496,1345
instance_test_29,5,1491,1346
instance_test_3,1,11211,14787
instance_test_3,2,12413,14786
instance_test_3,3,12413,14798
instance_test_3,4,12409,15970
instance_test_3,5,13619,15978
instance_test_30,1,2788,2805
instance_test_30,2,2807,2785
instance_test_30,3,2798,2787
instance_test_30,4,2809,2804
instance_test_30,5,2786,2801
instance_test_31,1,1098,1098
instance_test_31,2,1098,1098
instance_test_31,3,1098,1098
instance_test_31,4,1098,1098
instance_test_31,5,1098,1098
instance_test_32,1,3246,6108
instance_test_32,2,3246,6108
instance_test_32,3,3246,3246
instance_test_32,4,3246,3237
instance_test_32,5,3246,3246
instance_test_33,1,1943,1967
instance_test_33,2,1945,1981
instance_test_33,3,1929,3360
instance_test_33,4,1937,3377
instance_test_33,5,1966,1965
instance_test_34,1,577,574
instance_test_34,2,585,600
instance_test_34,3,557,578
instance_test_34,4,563,568
instance_test_34,5,579,594
instance_test_35,1,3284,3093
instance_test_35,2,3043,3092
instance_test_35,3,3042,3038
instance_test_35,4,3289,3052
instance_test_35,5,3015,3016
instance_test_36,1,2867,2856
instance_test_36,2,2854,2856
instance_test_36,3,2862,2860
instance_test_36,4,2927,2853
instance_test_36,5,2866,2847
instance_test_37,1,1314,1310
instance_test_37,2,1300,1307
instance_test_37,3,1297,1321
instance_test_37,4,1317,1309
instance_test_37,5,1309,1300
instance_test_38,1,2239,2239
instance_test_38,2,2237,2231
instance_test_38,3,2249,2237
instance_test_38,4,2206,2231
instance_test_38,5,2262,2240
instance_test_39,1,1556,2746
instance_test_39,2,2168,2744
instance_test_39,3,2150,3340
instance_test_39,4,2150,3338
instance_test_39,5,2150,3338
instance_test_4,1,220,221
instance_test_4,2,252,259
instance_test_4,3,228,216
instance_test_4,4,217,226
instance_test_4,5,255,216
instance_test_40,1,373,2492
instance_test_40,2,371,2497
instance_test_40,3,370,2490
instance_test_40,4,371,2503
instance_test_40,5,2488,362
instance_test_41,1,1591,2216
instance_test_41,2,1546,1337
instance_test_41,3,1602,2236
instance_test_41,4,1544,1334
instance_test_41,5,1402,1328
instance_test_42,1,3585,3594
instance_test_42,2,3592,3597
instance_test_42,3,2467,3579
instance_test_42,4,2458,3601
instance_test_42,5,2465,3608
instance_test_43,1,2632,2634
instance_test_43,2,2626,2634
instance_test_43,3,2634,2639
instance_test_43,4,2638,2629
instance_test_43,5,2641,2647
instance_test_44,1,1394,2424
instance_test_44,2,1386,2441
instance_test_44,3,1916,2439
instance_test_44,4,1396,1923
instance_test_44,5,870,2430
instance_test_45,1,3930,3835
instance_test_45,2,3876,3816
instance_test_45,3,3866,3800
instance_test_45,4,3844,3799
instance_test_45,5,3866,3826
instance_test_46,1,1174,1174
instance_test_46,2,1174,1174
instance_test_46,3,1181,1181
instance_test_46,4,1174,1174
instance_test_46,5,1181,1174
instance_test_47,1,481,233
instance_test_47,2,628,227
instance_test_47,3,478,219
instance_test_47,4,375,299
instance_test_47,5,547,377
instance_test_48,1,2252,2156
instance_test_48,2,2156,2156
instance_test_48,3,2156,2180
instance_test_48,4,2156,2164
instance_test_48,5,2156,2204
instance_test_49,1,868,858
instance_test_49,2,886,851
instance_test_49,3,846,858
instance_test_49,4,855,860
instance_test_49,5,857,867
instance_test_5,1,168,192
instance_test_5,2,182,152
instance_test_5,3,154,172
instance_test_5,4,172,172
instance_test_5,5,155,176
instance_test_50,1,232,210
instance_test_50,2,219,219
instance_test_50,3,219,219
instance_test_50,4,219,210
instance_test_50,5,210,210
instance_test_51,1,4225,4262
instance_test_51,2,4248,4255
instance_test_51,3,4238,4264
instance_test_51,4,4250,4257
instance_test_51,5,4247,4230
instance_test_52,1,7022,9982
instance_test_52,2,8494,8486
instance_test_52,3,8508,8490
instance_test_52,4,8502,8497
instance_test_52,5,7023,8483
instance_test_53,1,1253,1196
instance_test_53,2,1206,1170
instance_test_53,3,1216,1172
instance_test_53,4,1175,1210
instance_test_53,5,1254,1206
instance_test_54,1,362,352
instance_test_54,2,346,2224
instance_test_54,3,349,2245
instance_test_54,4,2234,2225
instance_test_54,5,2213,2239
instance_test_55,1,268,200
instance_test_55,2,204,201
instance_test_55,3,220,189
instance_test_55,4,200,196
instance_test_55,5,194,186
instance_test_56,1,1124,1084
instance_test_56,2,1140,1100
instance_test_56,3,1118,1100
instance_test_56,4,1120,1138
instance_test_56,5,1116,1084
instance_test_57,1,890,1748
instance_test_57,2,885,1756
instance_test_57,3,906,1740
instance_test_57,4,1753,1739
instance_test_57,5,886,1770
instance_test_58,1,3508,3357
instance_test_58,2,3553,3359
instance_test_58,3,3469,3363
instance_test_58,4,3544,3351
instance_test_58,5,3527,3378
instance_test_59,1,630,621
instance_test_59,2,619,628
instance_test_59,3,626,624
instance_test_59,4,621,605
instance_test_59,5,635,609
instance_test_6,1,1360,1274
instance_test_6,2,1372,1273
instance_test_6,3,1274,1275
instance_test_6,4,1379,1304
instance_test_6,5,1281,1272
instance_test_60,1,1103,1103
instance_test_60,2,1193,1103
instance_test_60,3,1103,1108
instance_test_60,4,1103,1103
instance_test_60,5,1103,1103
instance_test_61,1,287,293
instance_test_61,2,281,282
instance_test_61,3,287,274
instance_test_61,4,291,286
instance_test_61,5,279,285
instance_test_62,1,548,1515
instance_test_62,2,1866,1577
instance_test_62,3,1863,1567
instance_test_62,4,533,1556
instance_test_62,5,1889,1529
instance_test_63,1,839,803
instance_test_63,2,873,829
instance_test_63,3,842,809
instance_test_63,4,803,807
instance_test_63,5,813,819
instance_test_64,1,722,714
instance_test_64,2,734,726
instance_test_64,3,566,1127
instance_test_64,4,719,1112
instance_test_64,5,747,722
instance_test_65,1,1268,1216
instance_test_65,2,1228,1214
instance_test_65,3,1235,1224
instance_test_65,4,1231,1202
instance_test_65,5,1244,1223
instance_test_66,1,1018,967
instance_test_66,2,988,1830
instance_test_66,3,971,978
instance_test_66,4,995,869
instance_test_66,5,994,863
instance_test_67,1,1815,1869
instance_test_67,2,469,1872
instance_test_67,3,1889,1863
instance_test_67,4,469,1812
instance_test_67,5,1892,1875
instance_test_68,1,3516,3516
instance_test_68,2,3524,3516
instance_test_68,3,3472,3524
instance_test_68,4,3524,3518
instance_test_68,5,3516,3524
instance_test_69,1,279,1640
instance_test_69,2,1627,1615
instance_test_69,3,279,1606
instance_test_69,4,1655,1606
instance_test_69,5,279,1611
instance_test_7,1,3954,4045
instance_test_7,2,4042,4016
instance_test_7,3,543,3963
instance_test_7,4,534,4212
instance_test_7,5,543,4047
instance_test_70,1,675,557
instance_test_70,2,637,263
instance_test_70,3,266,577
instance_test_70,4,267,271
instance_test_70,5,626,546
instance_test_71,1,3222,3101
instance_test_71,2,3092,3074
instance_test_71,3,3292,3074
instance_test_71,4,3060,3070
instance_test_71,5,3292,3120
instance_test_72,1,13294,13276
instance_test_72,2,13287,13283
instance_test_72,3,13333,13288
instance_test_72,4,13301,13294
instance_test_72,5,13281,13300
instance_test_73,1,2774,2788
instance_test_73,2,2810,2807
instance_test_73,3,2800,2812
instance_test_73,4,2787,2833
instance_test_73,5,2803,2787
instance_test_74,1,990,971
instance_test_74,2,985,1323
instance_test_74,3,977,1290
instance_test_74,4,979,1314
instance_test_74,5,988,1305
instance_test_75,1,2057,2072
instance_test_75,2,268,278
instance_test_75,3,2040,2052
instance_test_75,4,258,260
instance_test_75,5,271,2055
instance_test_76,1,1485,1619
instance_test_76,2,1545,1528
instance_test_76,3,1528,1530
instance_test_76,4,1511,1509
instance_test_76,5,1562,1554
instance_test_77,1,3991,3979
instance_test_77,2,3983,3975
instance_test_77,3,4012,3987
instance_test_77,4,3969,3982
instance_test_77,5,3976,3954
instance_test_78,1,3271,4246
instance_test_78,2,2288,3760
instance_test_78,3,2277,4248
instance_test_78,4,2777,4739
instance_test_78,5,2291,3756
instance_test_79,1,987,985
instance_test_79,2,1095,987
instance_test_79,3,1090,989
instance_test_79,4,1518,985
instance_test_79,5,992,1516
instance_test_8,1,4680,4702
instance_test_8,2,890,890
instance_test_8,3,4683,4809
instance_test_8,4,4674,4672
instance_test_8,5,4674,4676
instance_test_80,1,1442,1479
instance_test_80,2,1469,1435
instance_test_80,3,1452,1488
instance_test_80,4,1450,1447
instance_test_80,5,1475,1470
instance_test_81,1,265,252
instance_test_81,2,254,259
instance_test_81,3,255,1615
instance_test_81,4,280,1610
instance_test_81,5,262,256
instance_test_82,1,2550,2554
instance_test_82,2,2537,2507
instance_test_82,3,2546,2531
instance_test_82,4,2542,2514
instance_test_82,5,2534,2557
instance_test_83,1,860,857
instance_test_83,2,854,854
instance_test_83,3,953,851
instance_test_83,4,870,861
instance_test_83,5,856,855
instance_test_84,1,1911,2667
instance_test_84,2,2114,1938
instance_test_84,3,1351,2704
instance_test_84,4,2109,1903
instance_test_84,5,2069,2041
instance_test_85,1,1958,1752
instance_test_85,2,1975,2750
instance_test_85,3,1946,1800
instance_test_85,4,1890,1781
instance_test_85,5,1913,2751
instance_test_86,1,121,103
instance_test_86,2,3593,101
instance_test_86,3,3587,3583
instance_test_86,4,114,112
instance_test_86,5,3583,99
instance_test_87,1,504,514
instance_test_87,2,522,529
instance_test_87,3,505,523
instance_test_87,4,479,497
instance_test_87,5,527,521
instance_test_88,1,1204,1184
instance_test_88,2,1250,1171
instance_test_88,3,1184,1332
instance_test_88,4,1229,1325
instance_test_88,5,1224,1239
instance_test_89,1,265,183
instance_test_89,2,270,261
instance_test_89,3,278,669
instance_test_89,4,265,272
instance_test_89,5,266,659
instance_test_9,1,1056,2142
instance_test_9,2,1058,2141
instance_test_9,3,1061,2150
instance_test_9,4,1060,2130
instance_test_9,5,1071,2157
instance_test_90,1,1054,1781
instance_test_90,2,1056,1779
instance_test_90,3,1087,1045
instance_test_90,4,1095,1770
instance_test_90,5,1040,1768
instance_test_91,1,16249,16232
instance_test_91,2,13398,16229
instance_test_91,3,13428,16248
instance_test_91,4,13437,16272
instance_test_91,5,13408,16262
instance_test_92,1,3566,3566
instance_test_92,2,3558,3566
instance_test_92,3,3566,3566
instance_test_92,4,3566,3566
instance_test_92,5,3566,3574
instance_test_93,1,482,495
instance_test_93,2,440,466
instance_test_93,3,470,474
instance_test_93,4,439,502
instance_test_93,5,450,434
instance_test_94,1,3983,3983
instance_test_94,2,4092,3974
instance_test_94,3,4096,3983
instance_test_94,4,4079,3965
instance_test_94,5,3983,3965
instance_test_95,1,283,278
instance_test_95,2,295,270
instance_test_95,3,261,279
instance_test_95,4,299,297
instance_test_95,5,286,297
instance_test_96,1,4443,4367
instance_test_96,2,4388,4388
instance_test_96,3,4415,4391
instance_test_96,4,4398,4384
instance_test_96,5,4415,4396
instance_test_97,1,1870,1838
instance_test_97,2,1878,1838
instance_test_97,3,1838,1838
instance_test_97,4,1870,1838
instance_test_97,5,1866,1838
instance_test_98,1,437,383
instance_test_98,2,383,383
instance_test_98,3,429,383
instance_test_98,4,427,383
instance_test_98,5,383,431
instance_test_99,1,148,168
instance_test_99,2,232,140
instance_test_99,3,219,130
instance_test_99,4,224,140
instance_test_99,5,139,150
