Instance;orders;resources;MinGroupSize;TargetGroupSize;MaxGroupSize;ValidResourceProbability;PriorityLevels;ReferenceSolution_Cost;ReferenceSolution_ExactCost;ReferenceSolution_PlanningGroups
instance_test_19;604;1;187;232;494;0,831270955;18;17940;17930,1603;67
instance_test_74;636;3;349;395;474;0,002911099;13;6061;6062,278653;25
instance_test_30;661;8;158;215;248;0,961518108;11;10412;10404,00597;20
instance_test_5;664;4;175;197;481;0,298777833;10;22142;22104,13126;20
instance_test_11;677;9;118;283;338;0,960468766;7;7702;7690,407371;13
instance_test_53;683;7;384;409;463;0,872654025;12;6078;6055,068573;11
instance_test_8;687;3;246;284;389;0,992955169;4;8703;8661,263334;33
instance_test_75;689;3;364;385;444;0,374280503;12;5574;5561,454759;28
instance_test_55;692;10;373;446;490;0,262231358;16;7352;7349,426786;8
instance_test_42;694;4;424;455;474;0,408572127;12;4292;4288,719613;19
instance_test_2;700;7;180;436;462;0,385932573;1;5102;5102;12
instance_test_20;703;8;415;439;446;0,702144023;18;5112;5100,698068;10
instance_test_90;703;5;369;373;458;0,164204526;19;8586;8584,202483;17
instance_test_38;706;4;317;353;398;0,198143867;6;5223;5214,545072;25
instance_test_61;717;2;306;371;477;0,93308979;18;9491;9489,5358;42
instance_test_95;718;10;189;273;282;0,538448161;4;11914;11903,85886;15
instance_test_24;723;3;293;343;420;0,2321503;10;7429;7414,001617;32
instance_test_48;723;7;369;388;476;0,06753982;5;6686;6661,637591;12
instance_test_22;724;9;183;232;279;0,441432748;17;11156;11147,89291;18
instance_test_63;725;1;365;395;462;0,828778043;2;3263;3237,115507;85
instance_test_92;728;4;114;332;480;0,387256893;17;13834;13820,36638;21
instance_test_83;729;3;249;378;454;0,257848831;6;6757;6745,111073;30
instance_test_64;731;4;455;459;464;0,095000327;6;1520;1495,206136;19
instance_test_9;735;8;204;242;341;0,085486278;19;14791;14790,89518;16
instance_test_29;736;7;374;376;437;0,8817547;18;7473;7460,652059;13
instance_test_39;741;4;287;408;494;0,122726455;9;7902;7874,623866;21
instance_test_7;745;7;150;209;380;0,788107358;11;18997;18998,68144;16
instance_test_36;747;2;230;327;365;0,683079148;16;6255;6252,455285;56
instance_test_70;747;2;113;120;339;0,315510688;2;23827;23777,80537;61
instance_test_59;752;6;466;483;496;0,660624839;14;4053;4043,397731;13
instance_test_31;755;8;437;472;492;0,878211033;15;6087;6094,517425;10
instance_test_67;755;2;175;198;343;0,639777615;11;16917;16913,02256;64
instance_test_17;759;3;443;456;459;0,783121094;4;1517;1509,579278;26
instance_test_98;759;5;414;467;500;0,514867386;16;6280;6272,114737;17
instance_test_43;762;4;354;393;428;0,509726962;11;5023;5027,254327;24
instance_test_46;766;4;423;483;494;0,124552084;19;7514;7524,077713;21
instance_test_82;766;5;121;183;219;0,129729382;18;13484;13480,49536;47
instance_test_45;767;3;461;461;477;0,313232794;15;3927;3905,481924;26
instance_test_65;771;8;451;452;453;0,356688465;18;3391;3372,977459;10
instance_test_91;781;3;345;394;399;0,338970011;4;4351;4330,194683;34
instance_test_14;782;4;315;359;450;0,506928081;9;8406;8378,451559;24
instance_test_25;782;8;428;455;463;0,429539278;17;5189;5183,751099;10
instance_test_26;785;10;212;245;286;0,834730616;1;8522;8522;16
instance_test_33;788;1;480;484;495;0,256682111;9;2002;1987,477944;79
instance_test_73;790;4;367;390;402;0,131936229;13;4305;4293,796634;24
instance_test_86;797;10;365;415;484;0,827920501;17;9018;9000,940256;9
instance_test_62;804;2;308;325;352;0,627872576;18;5477;5466,422374;58
instance_test_6;812;1;308;380;383;0,988076593;14;5566;5559,365945;116
instance_test_78;816;10;276;385;394;0,611113831;2;10258;10241,26015;12
instance_test_66;818;1;435;445;491;0,499736741;2;2275;2215,095432;85
instance_test_69;822;8;304;339;492;0,003166386;6;14197;14180,36971;12
instance_test_94;823;3;241;375;420;0,747891185;18;8039;8033,794831;37
instance_test_35;825;10;280;320;385;0,096117887;8;9083;9080,116801;12
instance_test_41;825;5;418;448;492;0,368289903;11;5920;5925,941558;19
instance_test_77;826;4;195;310;361;0,900215433;17;8864;8848,20828;33
instance_test_60;829;9;252;253;337;0,02172432;7;12225;12208,59375;16
instance_test_23;831;7;335;377;425;0,998565763;15;8918;8908,850062;16
instance_test_87;833;8;375;471;488;0,084615193;15;10169;10164,20913;12
instance_test_52;844;7;158;375;466;0,140483121;5;10476;10438,80241;15
instance_test_71;851;2;205;303;499;0,809432071;5;16879;16880,32239;47
instance_test_68;854;1;358;423;450;0,413713073;4;2808;2772,72482;105
instance_test_32;858;3;173;299;349;0,99144084;16;8866;8854,78966;47
instance_test_13;861;10;240;256;496;0,362946587;5;23526;23467,86779;10
instance_test_49;862;5;479;491;500;0,392656122;2;1570;1565,517159;17
instance_test_15;699;5;330;404;413;0,310057515;17;7993;7987,983804;18
instance_test_79;868;8;464;474;492;0,858244862;15;4982;4973,66693;11
instance_test_89;874;4;396;400;458;0,701276404;6;5735;5717,711016;25
instance_test_40;879;2;291;293;303;0,641472253;14;3788;3777,088031;67
instance_test_18;881;6;221;235;254;0,202150408;17;7217;7201,151611;28
instance_test_96;882;8;478;488;495;0,346867551;13;3878;3863,129918;11
instance_test_4;885;9;338;462;474;0,99497648;9;9739;9727,201799;12
instance_test_27;886;9;454;483;487;0,699023745;1;2369;2369;10
instance_test_84;887;3;115;151;236;0,095052142;5;15646;15619,83939;74
instance_test_81;892;3;219;236;264;0,755624096;18;7748;7730,543251;58
instance_test_16;897;2;136;275;394;0,118855896;13;14428;14421,71339;63
instance_test_93;904;4;267;341;341;0,487561749;17;11786;11766,66774;36
instance_test_54;908;7;172;244;386;0,713320408;4;17340;17309,79894;19
instance_test_80;909;1;289;385;403;0,800545678;11;4639;4614,165729;119
instance_test_76;910;5;399;441;465;0,505364774;9;6830;6804,893582;21
instance_test_12;912;3;135;243;245;0,261780238;6;13790;13785,32063;76
instance_test_88;916;4;261;283;460;0,691189063;12;19950;19955,16463;28
instance_test_21;917;3;375;412;421;0,121023432;11;5457;5446,021068;38
instance_test_100;917;1;390;434;438;0,180503168;12;4293;4267,983261;108
instance_test_3;918;4;185;243;306;0,173884755;14;11154;11150,18524;45
instance_test_85;918;6;351;388;414;0,24374051;9;6494;6497,237933;20
instance_test_28;921;2;284;334;376;0,699087877;11;7044;7031,196212;72
instance_test_10;923;6;475;475;475;0,940208258;4;931;917,6661089;15
instance_test_51;926;8;241;261;361;0,730827724;19;16338;16339,82317;19
instance_test_58;928;9;428;465;478;0,616947258;7;5312;5287,159299;11
instance_test_72;931;5;279;311;399;0,852868129;12;12041;12012,3144;26
instance_test_50;937;4;226;275;318;0,124205963;6;8207;8177,172995;44
instance_test_57;940;8;278;287;382;0,796029202;4;11808;11800,89236;18
instance_test_97;941;9;207;236;296;0,441767473;16;13760;13735,29053;21
instance_test_37;948;9;378;378;426;0,279716741;16;8519;8525,820923;13
instance_test_99;952;9;139;243;356;0,001629785;18;18993;18987,76374;17
instance_test_47;958;9;360;360;452;0,896677847;9;11372;11343,13346;13
instance_test_44;962;4;179;348;399;0,834903123;15;8890;8877,636777;34
instance_test_56;963;1;495;498;499;0,614927984;8;1947;1931,310095;88
instance_test_34;978;2;209;322;332;0,972164603;13;9677;9669,525752;84
instance_test_1;988;8;185;280;375;0,583497401;1;11644;11644;18
