Instance;orders;resources;MinGroupSize;TargetGroupSize;MaxGroupSize;ValidResourceProbability;PriorityLevels;ReferenceSolution_Cost;ReferenceSolution_ExactCost;ReferenceSolution_PlanningGroups
instance_test_1;136;1;298;307;344;0,935008506;9;659;658,2857143;21
instance_test_2;59;5;259;263;274;0,031528747;15;345;349,4074074;2
instance_test_3;130;3;112;396;417;0,447558103;12;1248;1240,782184;6
instance_test_4;166;6;441;449;450;0,990919903;6;430;430,0352277;3
instance_test_5;59;2;450;486;493;0,978507755;3;246;241,4930481;3
instance_test_6;58;5;219;240;261;0,538618849;11;386;389,6551724;2
instance_test_7;53;9;289;378;401;0,368325523;5;1048;1048,660377;1
instance_test_8;68;9;329;422;422;0,468559594;17;1268;1260,352941;1
instance_test_9;117;4;208;271;327;0,181021001;11;1373;1372,826087;5
instance_test_10;85;6;207;258;395;0,674935716;16;1687;1687,74359;2
instance_test_11;75;1;271;274;274;0,796421796;7;141;139,3619048;11
instance_test_12;69;7;443;471;491;0,618647919;4;254;253,4347826;1
instance_test_13;164;3;386;436;472;0,841880872;4;904;898,2694492;6
instance_test_14;50;5;407;459;496;0,008825685;16;457;455,88;1
instance_test_15;58;8;270;336;386;0,466174566;14;753;747,3103448;1
instance_test_16;111;5;333;358;397;0,977364198;16;873;867,8464377;3
instance_test_17;47;3;182;220;244;0,323253376;9;291;290,7490196;3
instance_test_18;120;4;470;476;488;0,876207674;2;189;187,7210032;3
instance_test_19;69;2;192;236;265;0,853404931;11;512;507,2851593;7
instance_test_20;64;9;335;377;409;0,983098377;3;475;468,5;1
instance_test_21;157;4;300;363;496;0,83030839;5;2008;1998,549406;4
instance_test_22;22;6;124;146;417;0,826405364;13;430;430;1
instance_test_23;121;1;251;254;353;0,029659574;18;1733;1727,864141;18
instance_test_24;191;5;394;421;421;0,476258492;9;867;860,5931138;4
instance_test_25;80;6;123;256;267;0,737644655;4;1259;1248,900285;3
instance_test_26;100;2;403;429;496;0,251290391;13;803;805,5449989;5
instance_test_27;95;2;390;399;472;0,365645698;12;887;881,5710784;6
instance_test_28;200;1;165;200;204;0,127827869;12;1128;1125,87619;46
instance_test_29;51;3;148;245;260;0,018797826;19;901;902,974026;4
instance_test_30;72;10;213;295;470;0,718389716;10;1779;1780,444444;1
instance_test_31;46;4;272;304;356;0,66558607;1;464;464;2
instance_test_32;166;9;219;317;382;0,746082361;1;1746;1746;3
instance_test_33;169;6;185;234;411;0,597402527;18;4251;4252,530882;4
instance_test_34;158;10;198;213;492;0,760377807;13;5866;5845,100529;2
instance_test_35;107;7;401;407;436;0,837532432;18;764;761,4825175;2
instance_test_36;65;9;271;317;383;0,707681777;6;766;767,7230769;1
instance_test_37;75;5;324;345;430;0,779173198;10;977;979,6987088;2
instance_test_38;127;5;234;289;365;0,294993308;14;1742;1733,681361;4
instance_test_39;124;2;181;297;393;0,875058633;1;1286;1286;9
instance_test_40;82;5;373;425;425;0,870809939;5;587;580,8139535;2
instance_test_41;182;2;372;444;475;0,534879102;11;1203;1200,574915;11
instance_test_42;120;5;137;227;336;0,128747945;15;2310;2305,082494;4
instance_test_43;53;6;315;393;473;0,197237923;19;1076;1075,132075;1
instance_test_44;139;3;126;172;244;0,142647352;16;2418;2412,862637;11
instance_test_45;85;10;363;375;401;0,353678371;5;334;332,3529412;1
instance_test_46;116;7;287;332;477;0,275012481;1;1666;1666;2
instance_test_47;172;1;340;351;434;0,03544458;18;1626;1620,635137;22
instance_test_48;61;8;283;310;418;0,8491637;1;816;816;1
instance_test_49;60;5;110;159;491;0,10401577;12;2006;2001,377407;2
instance_test_50;175;9;475;478;479;0,716750473;4;243;239,8706897;2
instance_test_51;66;9;109;273;492;0,740289621;17;1425;1426,454545;1
instance_test_52;137;5;117;296;400;0,155480588;13;2678;2674,395995;4
instance_test_53;48;4;299;311;351;0,71777286;5;342;342;2
instance_test_54;151;4;441;469;470;0,646240123;9;658;658,3338915;4
instance_test_55;53;3;399;428;451;0,294860906;14;289;289,3742857;2
instance_test_56;77;10;108;116;239;0,523439908;2;2042;2038,092567;2
instance_test_57;45;2;210;379;417;0,433416116;13;316;317,525;3
instance_test_58;167;9;377;387;431;0,329805831;4;922;914,5762274;2
instance_test_59;193;1;490;492;495;0,566918026;8;374;375,501332;18
instance_test_60;192;5;379;400;479;0,926504756;2;1498;1498,145852;4
instance_test_61;98;6;337;349;349;0,872089753;15;498;494,5;2
instance_test_62;131;3;450;456;475;0,816725846;14;601;596,231946;5
instance_test_63;108;3;293;342;497;0,670540154;12;1841;1835,975238;4
instance_test_64;150;1;339;404;455;0,405164346;5;664;660,546176;18
instance_test_65;157;3;331;351;383;0,565257426;17;1246;1241,161765;7
instance_test_66;62;2;324;440;500;0,672688757;12;384;382,8;4
instance_test_67;47;3;325;448;456;0,259898998;9;617;617,2857143;2
instance_test_68;130;8;263;404;475;0,576341241;4;1738;1739,464896;2
instance_test_69;20;4;190;334;406;0,1940622;17;331;331,5;1
instance_test_70;119;1;425;446;485;0,955275121;16;752;749,1782662;13
instance_test_71;143;8;373;387;426;0,514387441;6;840;842,6871795;2
instance_test_72;182;9;152;363;457;0,652419272;11;2723;2724,672072;3
instance_test_73;189;8;228;293;334;0,390902145;12;1856;1854,146104;4
instance_test_74;120;2;113;156;339;0,445268242;16;3273;3268,472527;10
instance_test_75;72;4;404;449;467;0,758057791;13;556;557,6037152;2
instance_test_76;165;4;326;329;337;0,897364042;15;830;828,7240537;6
instance_test_77;186;10;192;250;255;0,863866539;7;2867;2868,952168;4
instance_test_78;117;2;127;246;304;0,696734859;9;967;965,4222222;11
instance_test_79;97;1;289;428;493;0,590405976;5;479;477,6318182;12
instance_test_80;144;3;463;463;478;0,928572305;9;464;462,8314501;5
instance_test_81;42;3;386;449;469;0,569946376;7;387;384,7619048;2
instance_test_82;123;5;379;440;469;0,250432761;13;1122;1115,846069;3
instance_test_83;62;5;241;257;413;0,79482145;4;803;807,427027;2
instance_test_84;70;2;203;376;469;0,737869924;16;801;801,7124183;4
instance_test_85;84;3;214;331;425;0,083507613;14;929;927,4252747;4
instance_test_86;157;7;492;495;499;0,496991329;2;134;134,4165584;2
instance_test_87;149;4;114;124;437;0,180915501;15;6210;6202,681901;5
instance_test_88;29;7;158;174;272;0,193908832;19;747;738,6206897;1
instance_test_89;106;1;365;405;418;0,821266073;4;285;280,7435897;12
instance_test_90;142;4;142;177;389;0,470773026;12;4252;4256,031232;5
instance_test_91;130;6;130;467;490;0,73631981;14;3073;3064,52229;3
instance_test_92;46;8;127;333;456;0,499909932;1;2710;2710;1
instance_test_93;61;2;187;205;238;0,531072624;9;430;430,3663004;7
instance_test_94;173;9;455;460;486;0,220626792;1;407;407;2
instance_test_95;150;4;207;208;365;0,586803871;11;3615;3612,166667;6
instance_test_96;85;9;442;447;461;0,823311863;18;479;478,4235294;1
instance_test_97;104;4;364;438;484;0,6082333;1;820;820;3
instance_test_98;24;1;229;392;492;0,28382399;18;272;270,4666667;3
instance_test_99;46;2;346;357;368;0,400091943;19;247;246,7692308;3
instance_test_100;200;1;111;111;188;0,767488575;6;3451;3446,533333;68
