Trial Instance Cost Seed Time Start_Temp Min_Temp Cooling_Rate Status
0 instance_test_1.json 12206199804 59613300 3.02856 5.0 0.02 0.98 OK
0 instance_test_1.json 12171124631 92996955 2.38925 5.0 0.02 0.99 OK
0 instance_test_1.json 11883300598 79664880 2.17268 5.0 0.02 0.995 OK
0 instance_test_1.json 11724427670 55037405 2.17135 5.0 0.05 0.98 OK
0 instance_test_1.json 11223053856 39778684 2.14992 5.0 0.05 0.99 OK
0 instance_test_1.json 11640866336 23437110 2.22191 5.0 0.05 0.995 OK
0 instance_test_1.json 11543892192 20846391 2.24544 5.0 0.1 0.98 OK
0 instance_test_1.json 11404621684 81305136 1.64675 5.0 0.1 0.99 OK
0 instance_test_1.json 11727524187 39140466 2.17558 5.0 0.1 0.995 OK
0 instance_test_1.json 11886395483 96908974 2.25184 7.5 0.02 0.98 OK
0 instance_test_1.json 11944163898 52201154 2.2287 7.5 0.02 0.99 OK
0 instance_test_1.json 11828622211 73590628 2.16835 7.5 0.02 0.995 OK
0 instance_test_1.json 12034950609 22490822 2.18528 7.5 0.05 0.98 OK
0 instance_test_1.json 11322091155 73927172 2.2051 7.5 0.05 0.99 OK
0 instance_test_1.json 12111290627 1520992 2.49801 7.5 0.05 0.995 OK
0 instance_test_1.json 11804895013 62737464 2.31856 7.5 0.1 0.98 OK
0 instance_test_1.json 11604756305 9469891 2.28675 7.5 0.1 0.99 OK
0 instance_test_1.json 12018442305 10812975 2.2003 7.5 0.1 0.995 OK
0 instance_test_1.json 12094784679 41930727 2.22387 10.0 0.02 0.98 OK
0 instance_test_1.json 11887422397 22608401 2.17583 10.0 0.02 0.99 OK
0 instance_test_1.json 11843065761 26454063 2.16695 10.0 0.02 0.995 OK
0 instance_test_1.json 11948291972 3672057 1.3812 10.0 0.05 0.98 OK
0 instance_test_1.json 11774979610 4916935 2.17462 10.0 0.05 0.99 OK
0 instance_test_1.json 11711016623 67141083 2.16657 10.0 0.05 0.995 OK
0 instance_test_1.json 11435572039 24346265 2.17047 10.0 0.1 0.98 OK
0 instance_test_1.json 11594443351 29847937 2.18312 10.0 0.1 0.99 OK
0 instance_test_1.json 12097877940 77263645 2.18226 10.0 0.1 0.995 OK

0 instance_test_2.json 33608 25305570 1.64149 5.0 0.02 0.98 OK
0 instance_test_2.json 31666 65132797 1.64943 5.0 0.02 0.99 OK
0 instance_test_2.json 32870 49975367 1.78877 5.0 0.02 0.995 OK
0 instance_test_2.json 35204 13894906 1.66908 5.0 0.05 0.98 OK
0 instance_test_2.json 34164 93558390 1.6822 5.0 0.05 0.99 OK
0 instance_test_2.json 33058 92160925 1.74173 5.0 0.05 0.995 OK
0 instance_test_2.json 36791 6683167 1.76275 5.0 0.1 0.98 OK
0 instance_test_2.json 36047 67744998 1.74216 5.0 0.1 0.99 OK
0 instance_test_2.json 32203 66428278 1.73019 5.0 0.1 0.995 OK
0 instance_test_2.json 19104396 18470041 1.95699 7.5 0.02 0.98 OK
0 instance_test_2.json 40005 11327871 2.39219 7.5 0.02 0.99 OK
0 instance_test_2.json 8020292 24550875 1.38942 7.5 0.02 0.995 OK
0 instance_test_2.json 7128023 55438383 2.22135 7.5 0.05 0.98 OK
0 instance_test_2.json 1364297 30963170 1.81849 7.5 0.05 0.99 OK
0 instance_test_2.json 37301 62168016 1.90814 7.5 0.05 0.995 OK
0 instance_test_2.json 6692086 47012775 1.9006 7.5 0.1 0.98 OK
0 instance_test_2.json 9347254 40562775 1.92773 7.5 0.1 0.99 OK
0 instance_test_2.json 32991 3917693 2.09107 7.5 0.1 0.995 OK
0 instance_test_2.json 37849 86104441 1.84625 10.0 0.02 0.98 OK
0 instance_test_2.json 40865 97005423 1.73388 10.0 0.02 0.99 OK
0 instance_test_2.json 38282 16679913 1.86072 10.0 0.02 0.995 OK
0 instance_test_2.json 34179474 14483808 1.94144 10.0 0.05 0.98 OK
0 instance_test_2.json 39501 54770998 1.68219 10.0 0.05 0.99 OK
0 instance_test_2.json 10682611 10503206 1.78397 10.0 0.05 0.995 OK
0 instance_test_2.json 8022942 81926853 1.74249 10.0 0.1 0.98 OK
0 instance_test_2.json 26203240 53311391 1.79171 10.0 0.1 0.99 OK
0 instance_test_2.json 14672664 32670185 2.36803 10.0 0.1 0.995 OK

0 instance_test_3.json 2018116590 50395694 2.6434 5.0 0.02 0.98 OK
0 instance_test_3.json 1833371510 61395194 2.33833 5.0 0.02 0.99 OK
0 instance_test_3.json 1758742956 64938977 2.12717 5.0 0.02 0.995 OK
0 instance_test_3.json 1885559946 97424286 2.19692 5.0 0.05 0.98 OK
0 instance_test_3.json 1897562581 20874138 2.01212 5.0 0.05 0.99 OK
0 instance_test_3.json 1965407184 24230226 2.0984 5.0 0.05 0.995 OK
0 instance_test_3.json 1735259189 23964472 2.24378 5.0 0.1 0.98 OK
0 instance_test_3.json 1832328202 54838823 2.07094 5.0 0.1 0.99 OK
0 instance_test_3.json 1890256993 69609820 2.01994 5.0 0.1 0.995 OK
0 instance_test_3.json 1663239663 41547035 1.93934 7.5 0.02 0.98 OK
0 instance_test_3.json 1892344210 74938559 1.96757 7.5 0.02 0.99 OK
0 instance_test_3.json 1864162343 74618043 1.99196 7.5 0.02 0.995 OK
0 instance_test_3.json 1709687317 46402598 2.04167 7.5 0.05 0.98 OK
0 instance_test_3.json 1959144684 85677195 1.95323 7.5 0.05 0.99 OK
0 instance_test_3.json 1906956760 43378061 1.95454 7.5 0.05 0.995 OK
0 instance_test_3.json 2014985201 12705506 1.15499 7.5 0.1 0.98 OK
0 instance_test_3.json 2112054311 18058354 1.99682 7.5 0.1 0.99 OK
0 instance_test_3.json 2000894857 99068082 1.99675 7.5 0.1 0.995 OK
0 instance_test_3.json 1850593897 39936912 2.00198 10.0 0.02 0.98 OK
0 instance_test_3.json 2206514764 70469949 2.00204 10.0 0.02 0.99 OK
0 instance_test_3.json 1837547009 14992933 2.02184 10.0 0.02 0.995 OK
0 instance_test_3.json 2114664292 71772266 2.02096 10.0 0.05 0.98 OK
0 instance_test_3.json 2112576972 24142821 1.95963 10.0 0.05 0.99 OK
0 instance_test_3.json 2108923628 61720792 1.95122 10.0 0.05 0.995 OK
0 instance_test_3.json 2076566896 23162834 2.12436 10.0 0.1 0.98 OK
0 instance_test_3.json 2161632833 82097502 2.03334 10.0 0.1 0.99 OK
0 instance_test_3.json 1998807468 24760952 2.41513 10.0 0.1 0.995 OK

0 instance_test_4.json 1276289063 26506116 2.31992 5.0 0.02 0.98 OK
0 instance_test_4.json 1298294114 58724826 1.95085 5.0 0.02 0.99 OK
0 instance_test_4.json 1300690607 64934133 1.55095 5.0 0.02 0.995 OK
0 instance_test_4.json 1329449403 37315799 1.51531 5.0 0.05 0.98 OK
0 instance_test_4.json 1401999877 19335196 0.606509 5.0 0.05 0.99 OK
0 instance_test_4.json 1358425865 77629874 1.47454 5.0 0.05 0.995 OK
0 instance_test_4.json 1296769049 98025190 1.51093 5.0 0.1 0.98 OK
0 instance_test_4.json 1373894324 79869686 1.4735 5.0 0.1 0.99 OK
0 instance_test_4.json 1413329091 19582078 1.49145 5.0 0.1 0.995 OK
0 instance_test_4.json 1315287773 72931187 1.57079 7.5 0.02 0.98 OK
0 instance_test_4.json 1373676796 25521869 1.49294 7.5 0.02 0.99 OK
0 instance_test_4.json 1319645306 93338787 2.34228 7.5 0.02 0.995 OK
0 instance_test_4.json 1309187568 58373359 1.70638 7.5 0.05 0.98 OK
0 instance_test_4.json 1336421106 29657711 1.62761 7.5 0.05 0.99 OK
0 instance_test_4.json 1379123193 33192040 1.59 7.5 0.05 0.995 OK
0 instance_test_4.json 1381302310 97322572 1.67075 7.5 0.1 0.98 OK
0 instance_test_4.json 1352761107 88142595 1.95481 7.5 0.1 0.99 OK
0 instance_test_4.json 1366487037 95568850 1.81747 7.5 0.1 0.995 OK
0 instance_test_4.json 1315723509 96961278 1.64223 10.0 0.02 0.98 OK
0 instance_test_4.json 1403742738 80448063 1.73663 10.0 0.02 0.99 OK
0 instance_test_4.json 1304176691 69659744 2.45471 10.0 0.02 0.995 OK
0 instance_test_4.json 1366051311 89516137 2.292 10.0 0.05 0.98 OK
0 instance_test_4.json 1286093300 51517837 1.25693 10.0 0.05 0.99 OK
0 instance_test_4.json 1346443325 98424845 2.02742 10.0 0.05 0.995 OK
0 instance_test_4.json 1311148326 43297730 1.63988 10.0 0.1 0.98 OK
0 instance_test_4.json 1366051076 90912279 1.83885 10.0 0.1 0.99 OK
0 instance_test_4.json 1301562006 30213596 1.58173 10.0 0.1 0.995 OK

Trial Instance Cost Seed Time Start_Temp Min_Temp Cooling_Rate Status
0 instance_test_1.json 15416641036 83509945 3.0144 1000.0 1.0 0.98 OK
0 instance_test_1.json 15405292545 56916368 2.634 1000.0 1.0 0.99 OK
0 instance_test_1.json 15289750299 48503744 2.33808 1000.0 1.0 0.995 OK
0 instance_test_1.json 15352679873 95996750 2.1414 1000.0 5.0 0.98 OK
0 instance_test_1.json 15788028566 4157413 2.23023 1000.0 5.0 0.99 OK
0 instance_test_1.json 15936583376 46437849 2.27801 1000.0 5.0 0.995 OK
0 instance_test_1.json 16036651879 30414326 2.18467 1000.0 10.0 0.98 OK
0 instance_test_1.json 16293528035 12874363 1.3033 1000.0 10.0 0.99 OK
0 instance_test_1.json 15814850825 76458036 2.20872 1000.0 10.0 0.995 OK
0 instance_test_1.json 15880875195 65191939 2.22399 5000.0 1.0 0.98 OK
0 instance_test_1.json 16097518183 86481577 2.20376 5000.0 1.0 0.99 OK
0 instance_test_1.json 16273927221 74119774 2.21431 5000.0 1.0 0.995 OK
0 instance_test_1.json 16628808572 23802969 2.13482 5000.0 5.0 0.98 OK
0 instance_test_1.json 16097518148 74401147 2.14344 5000.0 5.0 0.99 OK
0 instance_test_1.json 16449304701 71060584 2.12717 5000.0 5.0 0.995 OK
0 instance_test_1.json 16506044467 53382018 2.14962 5000.0 10.0 0.98 OK
0 instance_test_1.json 16270832398 89920542 2.45598 5000.0 10.0 0.99 OK
0 instance_test_1.json 16138783045 37190967 2.14766 5000.0 10.0 0.995 OK
0 instance_test_1.json 16449304677 95839713 2.20103 10000.0 1.0 0.98 OK
0 instance_test_1.json 15796281626 85310144 2.20873 10000.0 1.0 0.99 OK
0 instance_test_1.json 16391533273 92937869 2.66301 10000.0 1.0 0.995 OK
0 instance_test_1.json 16448273045 12434318 1.77813 10000.0 5.0 0.98 OK
0 instance_test_1.json 16507076099 87668406 2.58474 10000.0 5.0 0.99 OK
0 instance_test_1.json 16730940225 84350960 2.72594 10000.0 5.0 0.995 OK
0 instance_test_1.json 16677295331 66807027 3.10145 10000.0 10.0 0.98 OK
