istanza                 min       mean     median       std feas/tot
-------                 ---       ----     ------       --- --------
instance_test_1        2601     2671.0     2679.0      48.0 5/5
instance_test_2        7017     7055.4     7048.0      27.6 5/5
instance_test_3        2854     2861.8     2861.0       4.7 5/5
instance_test_4        4540     4664.2     4584.0     191.6 5/5
instance_test_5        4424     4442.0     4444.0      12.4 5/5
instance_test_6        4656     4747.8     4730.0      80.9 5/5
instance_test_7        7043     7106.8     7127.0      37.7 5/5
instance_test_8        1504     1522.6     1518.0      12.5 5/5
instance_test_9        1410     1414.8     1410.0       6.4 5/5
instance_test_10       1518     1587.6     1587.0      56.2 5/5
instance_test_11       1113     1139.0     1126.0      36.4 5/5
instance_test_12       2521     2543.2     2548.0      15.2 5/5
instance_test_13       2730     2761.8     2740.0      32.8 5/5
instance_test_14        970      972.0      970.0       2.4 5/5
instance_test_15       1286     1307.8     1301.0      16.4 5/5
instance_test_16       4361     4382.4     4384.0      11.7 5/5
instance_test_17        146      147.4      148.0       1.2 5/5
instance_test_18       1224     1225.6     1224.0       2.0 5/5
instance_test_19       4072     4224.8     4314.0     114.9 5/5
instance_test_20       2379     2381.6     2381.0       2.4 5/5
instance_test_21        898      922.2      929.0      18.3 5/5
instance_test_22       3295     3301.0     3300.0       4.2 5/5
instance_test_23       2275     2292.4     2283.0      19.1 5/5
instance_test_24       4266     4296.4     4271.0      35.9 5/5
instance_test_25       2471     2471.0     2471.0       0.0 5/5
instance_test_26          -          -          -         - 0/5
instance_test_27       2938     2959.4     2959.0      14.8 5/5
instance_test_28        728      793.4      786.0      50.4 5/5
instance_test_29       8598     8617.2     8600.0      27.0 5/5
instance_test_30       3208     3237.0     3226.0      30.4 5/5
instance_test_31       3843     3899.6     3913.0      32.7 5/5
instance_test_32        484      484.0      484.0       0.0 5/5
instance_test_33        914      945.2      949.0      20.6 5/5
instance_test_34       1052     1143.4     1203.0      73.4 5/5
instance_test_35        729      743.6      737.0      19.0 5/5
instance_test_36      10894    10906.8    10910.0       7.9 5/5
instance_test_37       2467     2663.6     2503.0     350.5 5/5
instance_test_38       1360     1390.4     1375.0      30.6 5/5
instance_test_39       5038     5074.2     5075.0      22.5 5/5
instance_test_40       1168     1222.8     1213.0      58.9 5/5
instance_test_41       5799     5852.6     5864.0      28.4 5/5
instance_test_42       1041     1059.6     1061.0      12.1 5/5
instance_test_43       1247     1313.8     1326.0      43.1 5/5
instance_test_44       1255     1284.4     1285.0      21.4 5/5
instance_test_45       3218     3237.8     3240.0      14.6 5/5
instance_test_46       1342     1348.0     1352.0       4.9 5/5
instance_test_47        706      751.0      747.0      35.6 5/5
instance_test_48       3616     3635.4     3629.0      19.6 5/5
instance_test_49        739      742.2      743.0       1.6 5/5
instance_test_50       7580     7598.8     7595.0      13.8 5/5
instance_test_51       6676     6719.6     6716.0      37.4 5/5
instance_test_52       1005     1010.6     1009.0       4.1 5/5
instance_test_53       2850     2879.2     2878.0      26.7 5/5
instance_test_54       2751     2772.0     2777.0      16.1 5/5
instance_test_55        996     1010.4     1018.0      11.9 5/5
instance_test_56       2681     2786.2     2752.0      86.2 5/5
instance_test_57      16160    16187.4    16193.0      15.1 5/5
instance_test_58       4889     4909.6     4902.0      16.5 5/5
instance_test_59       8787     8835.8     8834.0      38.1 5/5
instance_test_60        865      870.6      871.0       3.6 5/5
instance_test_61        669      840.2      835.0     107.2 5/5
instance_test_62       4350     4373.0     4357.0      24.4 5/5
instance_test_63        626      645.6      649.0      15.2 5/5
instance_test_64       1140     1140.0     1140.0       0.0 5/5
instance_test_65       5202     5274.4     5219.0     121.0 5/5
instance_test_66       1929     1957.4     1960.0      16.6 5/5
instance_test_67       3020     3041.2     3040.0      16.7 5/5
instance_test_68       5054     5063.8     5068.0       5.6 5/5
instance_test_69       8380     8427.6     8434.0      35.2 5/5
instance_test_70       1941     1947.4     1949.0       4.3 5/5
instance_test_71       4561     4580.2     4572.0      17.2 5/5
instance_test_72       2091     2147.4     2136.0      68.3 5/5
instance_test_73       5293     5304.8     5296.0      18.6 5/5
