istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_1,4568,4579.2,4576.0,8.2,5,5
instance_test_2,5177,5191.0,5191.0,9.9,5,5
instance_test_3,3923,3943.8,3942.0,19.5,5,5
instance_test_4,4689,4887.4,4880.0,151.9,5,5
instance_test_5,17643,17662.6,17656.0,18.5,5,5
instance_test_6,3762,4001.6,4152.0,190.0,5,5
instance_test_7,14479,14551.4,14561.0,40.0,5,5
instance_test_8,6819,6841.0,6837.0,15.3,5,5
instance_test_9,4819,4890.4,4896.0,47.6,5,5
instance_test_10,-,-,-,-,0,5
instance_test_11,834,887.0,891.0,38.5,5,5
instance_test_12,16427,16448.6,16452.0,11.3,5,5
instance_test_13,18393,18439.6,18421.0,39.7,5,5
instance_test_14,3784,3822.2,3827.0,28.1,5,5
instance_test_15,7813,7852.6,7843.0,41.8,5,5
instance_test_16,5687,5711.0,5708.0,17.9,5,5
instance_test_17,2247,2293.8,2310.0,27.8,5,5
instance_test_18,3931,4022.2,4043.0,75.5,5,5
instance_test_19,14320,14789.6,14796.0,330.5,5,5
instance_test_20,5117,5195.6,5192.0,56.8,5,5
instance_test_21,5113,5134.4,5124.0,22.0,5,5
instance_test_22,2992,3017.0,3016.0,19.3,5,5
instance_test_23,1090,1171.2,1157.0,67.1,5,5
instance_test_24,1085,1134.2,1147.0,25.5,5,5
instance_test_25,5423,5525.0,5546.0,56.1,5,5
instance_test_26,2672,2688.0,2682.0,16.2,5,5
instance_test_27,5439,5449.8,5448.0,6.7,5,5
instance_test_28,911,939.8,926.0,30.1,5,5
instance_test_29,1497,1574.6,1549.0,70.0,5,5
instance_test_30,3681,3704.4,3703.0,23.7,5,5
instance_test_31,5683,5719.4,5702.0,36.9,5,5
instance_test_32,1514,1572.8,1584.0,38.0,5,5
instance_test_33,560,586.0,577.0,25.0,5,5
instance_test_34,5257,5276.2,5269.0,19.2,5,5
instance_test_35,8340,8403.6,8416.0,49.7,5,5
instance_test_36,1909,1939.0,1923.0,30.6,5,5
instance_test_37,3231,3302.6,3278.0,73.3,5,5
instance_test_38,3172,3213.2,3225.0,22.0,5,5
instance_test_39,5239,5302.2,5313.0,33.2,5,5
instance_test_40,1519,1582.8,1589.0,37.8,5,5
instance_test_41,2816,2904.4,2894.0,70.3,5,5
instance_test_42,2961,3008.0,3022.0,32.5,5,5
instance_test_43,3887,3946.2,3941.0,45.0,5,5
instance_test_44,1819,1841.8,1845.0,12.2,5,5
instance_test_45,1894,1985.6,2009.0,57.2,5,5
instance_test_46,5164,6647.0,7043.0,743.9,5,5
instance_test_47,3130,3283.2,3312.0,77.6,5,5
instance_test_48,2768,2864.4,2886.0,55.2,5,5
instance_test_49,3054,3058.0,3059.0,2.0,5,5
instance_test_50,9254,9957.6,10406.0,562.4,5,5
instance_test_51,8754,8788.0,8789.0,32.2,5,5
instance_test_52,2581,2600.4,2596.0,15.1,5,5
instance_test_53,1993,2094.4,2070.0,82.2,5,5
instance_test_54,12853,12898.2,12905.0,26.2,5,5
instance_test_55,6242,6292.2,6289.0,40.6,5,5
instance_test_56,1140,1174.2,1173.0,21.0,5,5
instance_test_57,6965,7023.0,7017.0,43.6,5,5
instance_test_58,6637,6771.0,6725.0,125.5,5,5
instance_test_59,3933,3986.8,3990.0,31.3,5,5
instance_test_60,2348,2769.0,2860.0,225.7,5,5
instance_test_61,6108,6118.6,6122.0,8.3,5,5
instance_test_62,2041,2311.0,2046.0,328.3,5,5
instance_test_63,2357,2359.6,2358.0,2.6,5,5
instance_test_64,2380,2467.2,2472.0,47.5,5,5
instance_test_65,6053,6185.2,6196.0,108.3,4,5
instance_test_66,939,946.8,949.0,4.2,5,5
instance_test_67,13446,13468.6,13467.0,18.9,5,5
instance_test_68,1046,1051.6,1050.0,4.8,5,5
instance_test_69,5291,6760.5,6760.5,1469.5,2,5
instance_test_70,20759,20789.4,20792.0,22.7,5,5
instance_test_71,15122,15145.4,15144.0,24.3,5,5
instance_test_72,6381,6489.2,6511.0,56.0,5,5
instance_test_73,3052,3102.2,3106.0,41.9,5,5
instance_test_74,3608,4124.2,3647.0,601.1,5,5
instance_test_75,1028,1070.0,1066.0,29.1,5,5
instance_test_76,4507,4550.4,4562.0,24.2,5,5
instance_test_77,2207,2254.2,2258.0,33.0,5,5
instance_test_78,6114,6126.0,6124.0,7.5,5,5
instance_test_79,4561,4600.0,4586.0,37.1,5,5
instance_test_80,1574,1578.4,1580.0,3.4,5,5
instance_test_81,2874,3356.2,3590.0,385.2,5,5
instance_test_82,13887,14116.8,13946.0,354.2,5,5
instance_test_83,634,647.2,643.0,12.1,5,5
instance_test_84,3016,3041.2,3034.0,23.9,5,5
instance_test_85,6364,6426.6,6425.0,50.1,5,5
instance_test_86,3172,3259.0,3261.0,79.0,5,5
instance_test_87,12361,12414.0,12422.0,39.6,5,5
instance_test_88,15466,15524.6,15505.0,53.5,5,5
instance_test_89,1642,1695.8,1704.0,28.4,5,5
instance_test_90,1496,1904.0,1545.0,732.6,5,5
instance_test_91,5003,5034.4,5035.0,28.3,5,5
instance_test_92,8324,8367.0,8369.0,34.4,5,5
instance_test_93,10057,10093.6,10089.0,28.2,5,5
instance_test_94,1562,1589.4,1604.0,22.6,5,5
instance_test_95,9169,9209.4,9209.0,30.1,5,5
instance_test_96,5298,5388.2,5429.0,55.2,5,5
instance_test_97,2833,2851.2,2847.0,15.7,5,5
instance_test_98,4097,4160.6,4164.0,50.6,5,5
instance_test_99,18825,19082.8,19123.0,174.0,5,5
instance_test_100,2314,2646.6,2718.0,166.7,5,5
