istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_1,2565,2582.2,2584.0,12.9,5,5
instance_test_2,7044,7060.0,7050.0,16.1,5,5
instance_test_3,2857,2863.6,2865.0,4.1,5,5
instance_test_4,3669,4309.6,4567.0,361.1,5,5
instance_test_5,4427,4440.4,4443.0,7.3,5,5
instance_test_6,4651,4675.0,4665.0,22.0,5,5
instance_test_7,4437,6575.4,7116.0,1069.6,5,5
instance_test_8,1498,1526.8,1526.0,21.4,5,5
instance_test_9,1410,1416.4,1418.0,6.0,5,5
instance_test_10,1529,1566.2,1553.0,28.5,5,5
instance_test_11,1134,1156.6,1148.0,22.9,5,5
instance_test_12,1282,2041.6,2496.0,614.2,5,5
instance_test_13,2742,2777.0,2781.0,22.3,5,5
instance_test_14,970,974.0,975.0,2.0,5,5
instance_test_15,1283,1300.4,1301.0,13.0,5,5
instance_test_16,4366,4383.4,4388.0,13.6,5,5
instance_test_17,154,156.6,156.0,3.3,5,5
instance_test_18,1220,1223.2,1224.0,1.6,5,5
instance_test_19,4062,4096.0,4075.0,38.5,5,5
instance_test_20,2378,2381.2,2380.0,3.7,5,5
instance_test_21,889,913.4,917.0,13.5,5,5
instance_test_22,2630,3029.6,3269.0,325.4,5,5
instance_test_23,852,2025.8,2287.0,587.9,5,5
instance_test_24,4247,4316.8,4330.0,45.0,5,5
instance_test_25,2471,2471.0,2471.0,0.0,5,5
instance_test_26,-,-,-,-,0,5
instance_test_27,2959,2982.8,2970.0,25.1,5,5
instance_test_28,731,805.6,817.0,38.7,5,5
instance_test_29,8589,8620.4,8623.0,25.8,5,5
instance_test_30,3149,3229.2,3203.0,62.9,5,5
instance_test_31,3877,3895.0,3890.0,19.7,5,5
instance_test_32,484,484.0,484.0,0.0,5,5
instance_test_33,902,953.4,958.0,31.5,5,5
instance_test_34,900,1083.0,1204.0,148.2,5,5
instance_test_35,727,750.6,731.0,27.0,5,5
instance_test_36,10878,10914.2,10925.0,27.3,5,5
instance_test_37,2486,2496.4,2496.0,8.4,5,5
instance_test_38,1371,1400.4,1395.0,27.2,5,5
instance_test_39,5070,5096.8,5083.0,27.2,5,5
instance_test_40,1134,1225.0,1254.0,68.5,5,5
instance_test_41,5831,5869.6,5880.0,21.7,5,5
instance_test_42,1038,1052.8,1054.0,11.3,5,5
instance_test_43,1238,1280.6,1281.0,27.0,5,5
instance_test_44,1270,1284.2,1284.0,8.6,5,5
instance_test_45,3203,3222.8,3219.0,18.4,5,5
instance_test_46,1342,1344.0,1342.0,4.0,5,5
instance_test_47,684,734.2,736.0,27.1,5,5
instance_test_48,3620,3651.0,3665.0,24.0,5,5
instance_test_49,739,739.8,739.0,1.6,5,5
instance_test_50,7576,7621.4,7639.0,36.6,5,5
instance_test_51,6654,6724.2,6754.0,47.0,5,5
instance_test_52,1009,1009.8,1009.0,1.2,5,5
instance_test_53,2823,2873.2,2880.0,43.4,5,5
instance_test_54,2767,2772.4,2772.0,4.9,5,5
instance_test_55,977,1000.8,1001.0,17.0,5,5
instance_test_56,2682,2703.8,2709.0,13.1,5,5
instance_test_57,16156,16213.0,16220.0,45.2,5,5
instance_test_58,4921,4926.2,4925.0,3.8,5,5
instance_test_59,8769,8824.4,8820.0,47.7,5,5
instance_test_60,868,873.6,871.0,5.9,5,5
instance_test_61,667,806.4,841.0,125.3,5,5
instance_test_62,4347,4369.8,4365.0,22.2,5,5
instance_test_63,589,627.0,623.0,26.7,5,5
instance_test_64,1124,1137.4,1140.0,6.8,5,5
instance_test_65,4890,5211.2,5217.0,198.1,5,5
instance_test_66,1934,1968.6,1964.0,27.8,5,5
instance_test_67,3011,3035.4,3026.0,25.7,5,5
instance_test_68,5054,5063.8,5068.0,5.6,5,5
instance_test_69,8370,8439.6,8400.0,83.1,5,5
instance_test_70,1943,1952.8,1957.0,7.3,5,5
instance_test_71,4571,4582.4,4575.0,13.9,5,5
instance_test_72,2104,2111.0,2105.0,7.9,5,5
instance_test_73,5248,5293.0,5286.0,29.7,5,5
instance_test_74,4041,4081.8,4070.0,37.6,5,5
instance_test_75,240,283.6,263.0,43.5,5,5
instance_test_76,1664,1666.4,1667.0,1.2,5,5
instance_test_77,5377,5420.8,5418.0,25.3,5,5
instance_test_78,3097,3149.8,3163.0,30.5,5,5
instance_test_79,3391,3435.0,3437.0,32.6,5,5
instance_test_80,12532,12543.0,12534.0,16.0,5,5
instance_test_81,4666,4888.4,4944.0,111.2,5,5
instance_test_82,3558,3730.0,3842.0,138.8,5,5
instance_test_83,4898,4951.8,4974.0,31.7,5,5
instance_test_84,976,1638.6,1802.0,331.3,5,5
instance_test_85,7686,7732.8,7736.0,37.3,5,5
instance_test_86,1463076,1950499.3,1463146.0,689271.2,3,5
instance_test_87,2867,2869.4,2867.0,2.9,5,5
instance_test_88,2476,2483.0,2483.0,4.4,5,5
instance_test_89,3684,3730.6,3722.0,33.5,5,5
instance_test_90,6449,6458.4,6454.0,8.2,5,5
instance_test_91,1849,1861.4,1858.0,11.1,5,5
instance_test_92,2330,2388.6,2370.0,52.0,5,5
instance_test_93,444,460.4,462.0,9.0,5,5
instance_test_94,4098,4104.6,4107.0,5.1,5,5
instance_test_95,1642,1659.2,1662.0,9.4,5,5
instance_test_96,1072,1079.4,1078.0,7.0,5,5
instance_test_97,3366,3388.0,3393.0,13.1,5,5
instance_test_98,8282,8311.8,8298.0,29.8,5,5
instance_test_99,4906,4960.8,4944.0,57.4,5,5
instance_test_100,1217,1228.4,1227.0,8.1,5,5
