istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_1,81,84.8,85.0,2.6,5,5
instance_test_2,274,287.3,290.0,10.0,3,5
instance_test_3,1750,1755.0,1753.0,5.2,5,5
instance_test_4,208,220.4,214.0,16.0,5,5
instance_test_5,153,153.8,154.0,0.7,5,5
instance_test_6,1280,1292.0,1294.0,6.1,5,5
instance_test_7,534,1905.6,534.0,1679.9,5,5
instance_test_8,890,890.0,890.0,0.0,5,5
instance_test_9,1089,1104.2,1104.0,12.6,5,5
instance_test_10,979,982.4,982.0,2.1,5,5
instance_test_11,57,63.4,63.0,4.8,5,5
instance_test_12,170,170.0,170.0,0.0,5,5
instance_test_13,1348,1353.0,1350.0,5.6,5,5
instance_test_14,457,457.0,457.0,0.0,5,5
instance_test_15,281,281.0,281.0,0.0,5,5
instance_test_16,253,1663.4,2014.0,705.2,5,5
instance_test_17,720,732.0,735.0,6.9,5,5
instance_test_18,1866,1870.0,1867.0,4.3,5,5
instance_test_19,515,523.2,525.0,5.4,5,5
instance_test_20,203,203.0,203.0,0.0,5,5
instance_test_21,1502,1522.4,1523.0,11.3,5,5
instance_test_22,146,150.8,152.0,2.4,5,5
instance_test_23,1016,1220.6,1272.0,102.3,5,5
instance_test_24,494,1774.0,2595.0,1044.0,5,5
instance_test_25,2120,2127.0,2129.0,3.8,5,5
instance_test_26,546,560.6,565.0,8.5,5,5
instance_test_27,476,486.4,478.0,15.6,5,5
instance_test_28,642,645.0,646.0,1.5,5,5
instance_test_29,739,890.0,745.0,290.0,5,5
instance_test_30,487,487.0,487.0,0.0,5,5
instance_test_31,124,124.0,124.0,0.0,5,5
instance_test_32,384,384.0,384.0,0.0,5,5
instance_test_33,2786,2799.6,2800.0,7.5,5,5
instance_test_34,4182,4194.0,4196.0,7.5,5,5
instance_test_35,3003,3029.2,3035.0,21.6,5,5
instance_test_36,197,197.0,197.0,0.0,5,5
instance_test_37,1295,1304.4,1306.0,7.7,5,5
