istanza,min,mean,median,std,feasible_runs,total_runs
instance_test_1,77,84.6,84.0,5.5,5,5
instance_test_2,278,178492.0,284.0,252028.4,3,5
instance_test_3,1749,1756.2,1751.0,7.9,5,5
instance_test_4,206,210.2,208.0,4.7,5,5
instance_test_5,148,152.0,153.0,3.2,5,5
instance_test_6,1268,1279.0,1282.0,7.7,5,5
instance_test_7,534,3320.4,3963.0,1394.0,5,5
instance_test_8,890,890.0,890.0,0.0,5,5
instance_test_9,1080,1100.8,1107.0,14.2,5,5
instance_test_10,968,986.0,990.0,9.4,5,5
instance_test_11,53,62.2,63.0,5.8,5,5
instance_test_12,170,170.0,170.0,0.0,5,5
instance_test_13,1353,1365.2,1364.0,8.1,5,5
instance_test_14,457,457.0,457.0,0.0,5,5
instance_test_15,281,281.0,281.0,0.0,5,5
instance_test_16,1984,2004.2,2010.0,12.3,5,5
instance_test_17,726,730.4,731.0,3.4,5,5
instance_test_18,1866,1873.4,1877.0,4.6,5,5
instance_test_19,520,522.6,520.0,4.3,5,5
instance_test_20,203,203.0,203.0,0.0,5,5
instance_test_21,1491,1516.8,1518.0,14.0,5,5
instance_test_22,146,148.4,146.0,2.9,5,5
instance_test_23,1015,1118.2,1016.0,125.6,5,5
instance_test_24,512,1364.4,527.0,1037.0,5,5
instance_test_25,2119,2124.6,2126.0,4.4,5,5
instance_test_26,547,566.2,566.0,13.2,5,5
